key,title,year,venue,arxiv,object_of_change,shift_type,prediction_conditioning,legitimacy_reference,metric,explainers,data,theory,verified,threat,delta_vs_ours
mougan2025,Explanation Shift: How Did the Distribution Shift Impact the Model?,2025,TMLR,2303.08081,data (frozen model),covariate/concept (population),none,none,two-sample test on P(E_f(X)) via classifier on SHAP vectors,SHAP,synthetic + tabular (folktables-like),Shapley efficiency implies prediction shift => explanation shift,web-verified,CRITICAL for population framing / LOW for ours,"They detect data shift with a frozen model at the population level; we measure instance-level change across a model UPDATE on prediction-preserved probes, with a warranted-change reference."
agarwal2022ros,Rethinking Stability for Attribution-based Explanations (RIS/RRS/ROS),2022,ICLR 2022 workshop (PAIR2Struct),2203.06877,input (local neighbourhood),infinitesimal input perturbation,none,none,max ||dE||/||d(input|repr|logits)||,7 attribution methods,3 tabular,Lipschitz bounds on hidden layers,web-verified,CRITICAL for ratio metrics,"ROS is a ratio in a neighbourhood of ONE model; undefined as denominator -> 0, which is exactly the prediction-preserving regime. We do not use a ratio-to-output; we use a reference and matched floors."
fass2026,Feature Attribution Stability Suite: How Stable Are Post-Hoc Attributions?,2026,arXiv (CVPR XAI4CV workshop),2604.02532,input,geometric/photometric/compression perturbation,YES (prediction-invariance filtering),none,SSIM + rank correlation + top-k Jaccard,IG GradientSHAP Grad-CAM LIME,ImageNet-1K COCO CIFAR-10,none,web-verified,CRITICAL for input-perturbation vision,"They own prediction-preserving input perturbation in vision. We change the object to model updates, add floors, and supply omega. Their residual is called instability by fiat."
deltaaudit2025,Delta-Audit: Explaining What Changes When Models Change,2025,arXiv,2508.19589,model update (A/B pairs),none (hyperparameter/architecture swaps),partial (behaviour-attribution coupling),none,L1/Top-k/entropy + rank-overlap@10 + JSD + DCE + BAC + CODF,occlusion/clamping only,Breast Cancer Wine Digits,none,web-verified,HIGH,"Closest on object. But: occlusion only, classical learners, no distribution-shift ground truth, no noise or matched-null floor, and 'risky redistribution' is a heuristic label not a reference."
rsp2026,Reasoning Stabilization Point: A Training-Time Signal for Stable Evidence and Shortcut Reliance,2026,arXiv (ACL ARR under review),2601.11625,model checkpoints (epochs within one run),controlled shortcut correlation,none,none,1 - Spearman on normalised token attributions over a fixed probe set,gradient-based token attributions,text classification benchmarks,none,web-verified,HIGH (terminology + H1),"Owns the term 'explanation drift' in the epoch-wise sense. Within-run epochs, not cross-distribution updates; no floors; no legitimacy criterion. We cite them and reserve 'drift' for temporal sequences."
xray2026,When Fine-Tuning Changes the Evidence: Architecture-Dependent Semantic Drift in Chest X-Ray Explanations,2026,arXiv,2604.08513,model update (transfer -> full fine-tune),none (same task),YES (true positives only),none (explicitly reference-free),spatial localisation + structural consistency (IoU),LayerCAM Grad-CAM++,chest X-ray 5-class,none,web-verified,MEDIUM-HIGH,"Same object (fine-tuning), prediction-conditioned, but single medical task, CAM-family only, self-described reference-free, no shift typology, no floors."
evoxplain2025,EvoXplain: When ML Models Agree on Predictions but Disagree on Why,2025,arXiv,2512.22240,retraining runs (seeds),none,implicit (equally accurate models),none,clustering of explanation samples into modes,LIME SHAP,Breast Cancer COMPAS,none,web-verified,HIGH for H1 baseline,"This IS our rho_seed floor, not our treatment. We cite it as the baseline and add the matched-operator null they lack."
hypclass2026,Hypothesis Class Determines Explanation: Why Accurate Models Disagree on Feature Attribution,2026,arXiv,2603.15821,model class (cross-architecture),none,YES (prediction agreement controlled),none,agreement gap + Explanation Reliability Score R(x),multiple,24 datasets,agreement gap persists under interaction structure,web-verified,MEDIUM,"Controls prediction agreement across hypothesis classes at a fixed dataset. We hold architecture fixed and vary the DATA DISTRIBUTION through an update operator, with omega."
laberge2023,Partial Order in Chaos: Consensus on Feature Attributions in the Rashomon Set,2023,JMLR,2110.13369,Rashomon set members,none,none,none,consensus partial orders,SHAP-family,tabular,Rashomon set formalism,known (LIT),MEDIUM (background),Establishes the underspecification baseline we must exceed. We measure it under matched operators rather than constructing consensus.
ghorbani2019,Interpretation of Neural Networks is Fragile,2019,AAAI,1710.10547,input (adversarial),adversarial perturbation,YES (prediction-preserving by construction),none,top-k intersection / rank correlation,saliency IG DeepLIFT,ImageNet CIFAR,none,known (LIT),CRITICAL for adversarial axis,We drop the adversarial axis entirely; it is done and it is not a natural deployment condition.
